word,phoneme,VOT,language,category,stress
call,k,"56,88",L1_L2,content,yes
peel,p ,"41,54",L1_L2,content,yes
can,k,"26,57",L1_L2,content,yes
can,k,"49,84",L1_L2,content,yes
can,k,"43,52",L1_L2,content,yes
care,k,"66,55",L1_L2,content,yes
care,k,"59,33",L1_L2,content,yes
catapults,k,"33,21",L1_L2,content,yes
co,k,"60,15",L1_L2,function,yes
company,k,"43,4",L1_L2,content,yes
coming,k,"30,98",L1_L2,content,yes
to,t,"70,71",L1_L2,function,yes
connection,k,"36,3",L1_L2,content,no
connecting,k,"27,26",L1_L2,content,no
continues,k,"31,41",L1_L2,content,no
continues,k,"28,13",L1_L2,content,no
cooking,k,"41,08",L1_L2,content,yes
corpses,k,"54,5",L1_L2,content,yes
count,k,"98,33",L1_L2,name,yes
cultural,k,"37,62",L1_L2,content,yes
currency,k,"66,52",L1_L2,content,yes
keg,k,"28,2",L1_L2,content,yes
keg,k,"31,1",L1_L2,content,yes
keg,k,"47,47",L1_L2,content,yes
keg,k,"28,09",L1_L2,content,yes
keg,k,"29,97",L1_L2,content,yes
keg,k,"37,24",L1_L2,content,yes
kid,k,"33,48",L1_L2,content,yes
kill,k,"133,1",L1_L2,content,yes
killed,k,"106,91",L1_L2,content,yes
killed,k,"51,71",L1_L2,content,yes
charisma,k,"61,11",L1_L2,content,no
killed,k,"62,32",L1_L2,content,yes
charisma,k,"55,89",L1_L2,content,no
painting,p ,"18,94",L1_L2,content,yes
to,t,"83,92",L1_L2,function,yes
pal,p ,"22,06",L1_L2,content,yes
pal,p ,"19,86",L1_L2,content,yes
pal,p ,"17,05",L1_L2,content,yes
parents,p ,"27,03",L1_L2,content,yes
park,p ,"76,35",L1_L2,content,yes
parting,p ,"31,9",L1_L2,content,yes
puppies,p ,"11,36",L1_L2,content,yes
cat ,k,"34,93",L1_L2,content,yes
pee ,p ,"45,36",L1_L2,content,yes
passable,p ,"41,66",L1_L2,content,yes
passable,p ,"12,69",L1_L2,content,yes
peel,p ,"75,93",L1_L2,content,yes
peel,p ,"65,18",L1_L2,content,yes
peel,p ,"41,58",L1_L2,content,yes
peel,p ,"32,9",L1_L2,content,yes
peel,p ,"67,04",L1_L2,content,yes
peel,p ,"65,77",L1_L2,content,yes
